name;socr;code;index;gninmb;uno;ocatd;status
Шишкино Большое;д;3700700022200;;3703;;24211832014;0
Шишкино;д;3700700022201;155821;3703;;24211504017;0
Шумовская;д;3700700022300;155828;3703;;24211848025;0
Щечиха;д;3700700022400;155824;3703;;24211808029;0
Якимово;д;3700700022500;155845;3703;;24211820014;0
Якунино;д;3700700022600;155838;3703;;24211828028;0
Якушево;д;3700700022700;155840;3703;;24211836029;0
Ярышкино;д;3700700022800;155831;3703;;24211832015;0
Бузинская;д;3700700022900;155845;3703;;24211820004;0
Коростелево;д;3700700023000;155823;3703;;24211844004;0
Аннино;д;3700700023100;155843;3703;;24211840002;0
Ломки;д;3700700023200;155828;3703;;24211848014;0
Зубцово;д;3700700023300;155829;3703;;24211848032;0
Верещагино;д;3700700023400;155829;3703;;24211848030;0
Дмитриково;д;3700700023500;155828;3703;;24211848010;0
Георгиевское;с;3700700023600;155843;3703;;24211840007;0
Хмельники;д;3700700023700;155828;3703;;24211848021;0
Воронино (Шилекшинское СП);д;3700700023800;155828;3703;;24211848007;0
Солнечный;снт;3700700023999;155839;3703;;24211832003;0
Радуга;снт;3700700024000;155821;3703;;24211000000;0
Лесное;снт;3700700024200;155830;3703;;24211000000;0
Текстильщик;снт;3700700024300;155821;3703;;24211000000;0
Текстильщик 2;снт;3700700024400;155821;3703;;24211000000;0
Сосновый Бор;снт;3700700024699;155821;3703;;24211832002;0
Поликоровец 3;снт;3700700024799;155821;3703;;24211832001;0
Аграрник;снт;3700700024899;155821;3703;;24211832001;0
Губачево;снт;3700700024900;155824;3703;;24211808007;0
К/С 4 Шмель;снт;3700700025000;155805;3703;;24211000000;0
Коллективный сад 3;снт;3700700025199;155831;3703;;24211504000;0
Коллективный сад 2;снт;3700700025299;155838;3703;;24211504000;0
Кузьминки;снт;3700700025300;155838;3703;;24211828006;0
Кинешма;г;3700700100051;;3703;;24405000000;1
Наволоки;г;3700700200000;;3703;;24211504000;0
Алексино;п;3700700200200;;3703;;24211504000;0
Пригородный;х;3700700200400;155830;3703;;24211504000;0
Рассолиха;х;3700700200599;;3703;;24211504000;0
Комсомольский;р-н;3700800000000;;3704;;24213000000;0
Анисимцево;д;3700800000200;155130;3704;;24213832009;0
Архангел;с;3700800000300;155150;3704;;24213830002;0
Афанасьево;с;3700800000400;155138;3704;;24213832016;0
Белехово;д;3700800000500;155162;3704;;24213824023;0
Березники;с;3700800000600;155136;3704;;24213833003;0
Бразино;д;3700800000700;155134;3704;;24213832017;0
Бугрино;д;3700800000800;155163;3704;;24213824030;0
Бутово;д;3700800000900;155134;3704;;24213832018;0
Введенское;д;3700800001000;155136;3704;;24213833004;0
Воронцово;д;3700800001100;155142;3704;;24213815003;0
Ворятино;д;3700800001200;155170;3704;;24213824003;0
Высоково;д;3700800001300;155130;3704;;24213832001;0
Головец;д;3700800001400;;3704;;24213824024;0
Голохово;д;3700800001500;155136;3704;;24213833005;0
Гробищево;с;3700800001600;155136;3704;;24213833006;0
Губино;д;3700800001700;155142;3704;;24213815004;0
Губцево;д;3700800001800;155163;3704;;24213824031;0
Доманцево;д;3700800001900;155163;3704;;24213824032;0
Данилово;д;3700800002000;;3704;;24213824041;0
Дегтярька;д;3700800002100;155150;3704;;24213824042;0
Дмитриевское;с;3700800002200;155130;3704;;24213832002;0
Добрищево;д;3700800002300;155150;3704;;24213824043;0
Дубки;д;3700800002400;155150;3704;;24213824004;0
Дубовская;д;3700800002500;;3704;;24213830000;0
Заречье;д;3700800002600;155130;3704;;24213832010;0
Иваньково;д;3700800002700;155141;3704;;24213824044;0
Ивачево;д;3700800002800;155130;3704;;24213832003;0
Ивашково;д;3700800002900;155162;3704;;24213824025;0
Исаково;д;3700800003000;155170;3704;;24213824005;0
Кабаново;д;3700800003100;155130;3704;;24213832028;0
Клинцово;д;3700800003200;;3704;;24213833007;0
Клинцево;д;3700800003202;155136;3704;;24213833007;0
Кожевниково;д;3700800003300;155138;3704;;24213832019;0
Кондюково;д;3700800003400;;3704;;24213833008;0
Коптево;д;3700800003500;155150;3704;;24213824045;0
Коромыслово;д;3700800003600;155136;3704;;24213833002;0
Кочкарово;д;3700800003700;155163;3704;;24213824006;0
Красново;д;3700800003800;155136;3704;;24213833009;0
Кузнецовка;д;3700800003900;155136;3704;;24213833010;0
Кулеберьево;с;3700800004000;155142;3704;;24213815002;0
Куличиха;д;3700800004100;155130;3704;;24213832029;0
Лесниково;д;3700800004200;155136;3704;;24213833011;0
Лесниково;д;3700800004300;155150;3704;;24213824046;0
Логиново;д;3700800004400;155130;3704;;24213832030;0
Лыково;д;3700800004500;155130;3704;;24213832011;0
Марково;с;3700800004600;;3704;;24213815001;0
Маршово;с;3700800004700;155130;3704;;24213832031;0
Михеево;д;3700800004800;155130;3704;;24213832027;0
Молочково;д;3700800004900;155150;3704;;24213824047;0
Мытищи;с;3700800005000;155170;3704;;24213824007;0
Никольское;с;3700800005100;155162;3704;;24213824022;0
Никулино;д;3700800005200;;3704;;24213832032;0
Усадьба Новая;с;3700800005399;155150;3704;;24213824001;0
Новоселки;с;3700800005400;155141;3704;;24213824048;0
Октябрьский;с;3700800005500;;3704;;24213830001;0
Окулово;д;3700800005600;155136;3704;;24213833012;0
Остров;д;3700800005700;155150;3704;;24213830001;0
Островок;нп;3700800005800;155160;3704;;24213830000;0
Первомайский;п;3700800005999;155162;3704;;24213828008;0
Петровское;д;3700800006000;;3704;;24213833013;0
Петряево;д;3700800006100;155138;3704;;24213832021;0
Писцово;с;3700800006200;;3704;;24213832007;0
Писчугово;д;3700800006300;155141;3704;;24213824049;0
Плосково;д;3700800006400;155163;3704;;24213824008;0
Подболотье;д;3700800006500;155130;3704;;24213832013;0
Подозерский;с;3700800006600;;3704;;24213833001;0
Полянки;д;3700800006700;155163;3704;;24213824034;0
Поповка;д;3700800006800;155163;3704;;24213824035;0
Припеково;д;3700800006900;155138;3704;;24213832022;0
Просково;д;3700800007000;155163;3704;;24213824010;0
Путилова Гора;д;3700800007100;155130;3704;;24213832033;0
Рождественно;д;3700800007200;155163;3704;;24213824036;0
Райки;с;3700800007300;155170;3704;;24213824011;0
Румянцево;с;3700800007499;155163;3704;;24213836009;0
Рылково;д;3700800007500;155136;3704;;24213833014;0
Рязанка;д;3700800007600;155163;3704;;24213824038;0
Савино;д;3700800007700;;3704;;24213824039;0
Сватково;д;3700800007800;155136;3704;;24213833015;0
Светиково;с;3700800007900;155163;3704;;24213824029;0
Седельницы;с;3700800008000;155138;3704;;24213832015;0
Селезенево;д;3700800008100;155138;3704;;24213832023;0
Семено-Сарское;с;3700800008200;155136;3704;;24213833016;0
Семенцево;д;3700800008300;155142;3704;;24213815005;0
Семьюново;д;3700800008400;155163;3704;;24213824040;0
Слободка;д;3700800008500;;3704;;24213824012;0
Смольницы;д;3700800008600;155170;3704;;24213824013;0
Сорохта;с;3700800008700;155130;3704;;24213832004;0
Сотницы;с;3700800008800;155134;3704;;24213832024;0
Спасское;д;3700800008900;;3704;;24213824050;0
Становое;д;3700800009000;155136;3704;;24213833017;0
Старово;д;3700800009100;155170;3704;;24213824021;0
Степашево;д;3700800009200;155130;3704;;24213832014;0
Строевая Гора;с;3700800009300;155130;3704;;24213832034;0
Таганово;д;3700800009400;155136;3704;;24213833018;0
Тимоново;д;3700800009500;155150;3704;;24213824014;0
Толстиково;д;3700800009600;155136;3704;;24213833019;0
Томарово;д;3700800009700;155142;3704;;24213815006;0
Торкацево;д;3700800009800;155136;3704;;24213833020;0
Торохово;д;3700800009900;;3704;;24213824015;0
Торохова;д;3700800009903;;3704;;24213824015;0
Тюгаево;с;3700800010000;155136;3704;;24213833021;0
Устье;д;3700800010100;155162;3704;;24213824026;0
Филиппково;с;3700800010200;155130;3704;;24213832005;0
Филипково;д;3700800010202;155130;3704;;24213832005;0
Хоботово;д;3700800010300;155170;3704;;24213824016;0
Холодилово;д;3700800010400;155162;3704;;24213824027;0
Цыпышево;д;3700800010500;155130;3704;;24213832035;0
Чернятино;д;3700800010600;155136;3704;;24213833022;0
Чириково;д;3700800010700;;3704;;24213832025;0
Чудь;д;3700800010800;155130;3704;;24213832006;0
Чулково;д;3700800010999;155161;3704;;24213000000;0
Шатры;д;3700800011000;155130;3704;;24213832008;0
Щуково;с;3700800011100;155170;3704;;24213824017;0
Щуково;д;3700800011101;155170;3704;;24213824017;0
Южная;д;3700800011200;;3704;;24213830000;0
Юрцево;д;3700800011300;155150;3704;;24213824051;0
Юрцыно;д;3700800011400;155138;3704;;24213832026;0
Юрцино;д;3700800011401;155138;3704;;24213838012;0
Юрьево Первое;д;3700800011500;;3704;;24213824018;0
Юрьево;д;3700800011501;155150;3704;;24213824018;0
Яблоново;д;3700800011600;155150;3704;;24213824019;0
Яксаево;д;3700800011700;;3704;;24213824028;0
Якшино;д;3700800011900;;3704;;24213824020;0
Яново;д;3700800012000;155130;3704;;24213832036;0
Новая Усадьба;с;3700800012200;155150;3704;;24213824001;0
Комсомольск;г;3700800100000;;3704;;24213501000;1
Лежневский;р-н;3700900000000;;3711;;24214000000;0
Авдотцыно Большое;д;3700900000200;155116;3711;;24214865002;0
Большое Авдотцино;д;3700900000201;155116;3711;;24214865002;0
Авдотцино Большое;д;3700900000204;155116;3711;;24214865002;0
Аладино;д;3700900000300;155116;3711;;24214865003;0
Андреевка;д;3700900000400;155123;3711;;24214810000;0
Анисимово;д;3700900000500;;3711;;24214830033;0
Антропьево;д;3700900000600;155126;3711;;24214815002;0
Апаницыно;д;3700900000700;153535;3711;;24214815003;0
Апаницино;д;3700900000702;155126;3711;;24214815003;0
Арефино;д;3700900000800;155110;3711;;24214860002;0
Аржаново;д;3700900000900;155111;3711;;24214830000;0
Афанасово;д;3700900001000;;3711;;24214860003;0
Афанасово;д;3700900001100;;3711;;24214830000;0
Барсково;д;3700900001200;155122;3711;;24214810002;0
Башмаки;д;3700900001300;155123;3711;;24214810014;0
Белавино;д;3700900001400;155122;3711;;24214810003;0
Волотово;д;3700900001500;155124;3711;;24214810017;0
Болгово Большое;д;3700900001600;155111;3711;;24214830000;0
Растилково Большое;д;3700900001700;155124;3711;;24214810025;0
Борисцево;д;3700900001800;155101;3711;;24214835015;0
Бруснижново;д;3700900001900;155101;3711;;24214835002;0
Булатцево;д;3700900002000;155123;3711;;24214810015;0
Бушманово;д;3700900002100;155120;3711;;24214830000;0
Быковка;д;3700900002200;155122;3711;;24214810004;0
Вахнеево;д;3700900002300;155123;3711;;24214810016;0
Великодворское;д;3700900002400;;3711;;24214830000;0
Веснево;д;3700900002500;155125;3711;;24214870002;0
Волково;д;3700900002600;;3711;;24214810005;0
Воскресенское;с;3700900002700;;3711;;24214810001;0
Выселиха;д;3700900002800;155110;3711;;24214860004;0
Высоково;д;3700900002900;155120;3711;;24214830039;0
Вятково;д;3700900003000;155116;3711;;24214865005;0
Гомыленки;д;3700900003100;155120;3711;;24214830007;0
Горшково;д;3700900003200;;3711;;24214815004;0
Горшково;д;3700900003300;;3711;;24214865006;0
